PROCEDIMENTO;Complexidade A;;;Complexidade B;;;Complexidade C;;
;Total;Cirurgia;Anestesia;Total;Cirurgia;Anestesia;Total;Cirurgia;Anestesia
   + Pré-Axilas, FI Coxas, Culotes;38.000,00;33.000,00;5.000,00;41.000,00;36.000,00;5.000,00;44.000,00;39.000,00;5.000,00
   + Pré-Axilas, FI Coxas, Braços;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00;45.000,00;40.000,00;5.000,00
   + Pré-Axilas, Culotes, Braços;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00;45.000,00;40.000,00;5.000,00
   + Pré-Axilas, FI Coxas, Culotes, Braços;41.000,00;36.000,00;5.000,00;44.000,00;39.000,00;5.000,00;47.000,00;42.000,00;5.000,00
   + FI Coxas, Culotes;38.000,00;33.000,00;5.000,00;41.000,00;36.000,00;5.000,00;44.000,00;39.000,00;5.000,00
   + FI Coxas, Braços;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00;45.000,00;40.000,00;5.000,00
   + Culotes, Braços;39.000,00;34.000,00;5.000,00;42.000,00;37.000,00;5.000,00;45.000,00;40.000,00;5.000,00
   + FI Coxas, Culotes, Braços;41.000,00;36.000,00;5.000,00;44.000,00;39.000,00;5.000,00;47.000,00;43.000,00;4.000,00
   + Coxas (circunferencial);43.000,00;38.000,00;5.000,00;46.000,00;41.000,00;5.000,00;49.000,00;45.000,00;4.000,00
Exérese Fuso Cutâneo Abdome Inferior;10.000,00;8.000,00;2.000,00;13.000,00;11.000,00;2.000,00;16.000,00;14.000,00;2.000,00
Flancoplastia + Lipoaspiração Flancos;22.000,00;19.000,00;3.000,00;25.000,00;22.000,00;3.000,00;32.000,00;29.000,00;3.000,00
Cruroplastia;35.000,00;32.000,00;3.000,00;38.000,00;35.000,00;3.000,00;43.000,00;40.000,00;3.000,00
Braquioplastia;35.000,00;32.000,00;3.000,00;38.000,00;35.000,00;3.000,00;43.000,00;40.000,00;3.000,00
Ninfoplastia;15.000,00;13.000,00;2.000,00;17.000,00;15.000,00;2.000,00;21.000,00;19.000,00;2.000,00
  + Lipoenxertia Grandes Lábios;17.000,00;15.000,00;2.000,00;19.000,00;17.000,00;2.000,00;23.000,00;21.000,00;2.000,00
Tratamento Cirúrgico Cicatriz - P / M / G (G com sedação);6.000,00;6.000,00;0,00;10.500,00;9.000,00;1.500,00;10.000,00;8.500,00;1.500,00
Blefaroplastia Superior + AL;12.000,00;10.000,00;0,00;14.000,00;12.000,00;0,00;16.000,00;16.000,00;0,00
Blefaroplastia Superior + Sedação;13.000,00;11.500,00;1.500,00;15.000,00;13.500,00;1.500,00;17.000,00;15.500,00;1.500,00
Blefaroplastia Inferior;15.000,00;13.000,00;2.000,00;17.000,00;15.000,00;2.000,00;19.000,00;17.000,00;2.000,00
Blefaroplastia Superior e Inferior;20.000,00;18.000,00;2.000,00;22.000,00;20.000,00;2.000,00;24.000,00;22.000,00;2.000,00
Otoplastia;17.000,00;15.000,00;2.000,00;19.000,00;17.000,00;2.000,00;21.000,00;19.000,00;2.000,00
CÁLCULOS;2.100,00;2.100,00;0,00;—;—;—;—;—;—
